1;Victor;Abens;v.abens@gmail.com;13 Rue de l Église;8777;Shanghai;67;0;03/03/1986
2;François Hubert;Abinet;f.abinet@gmail.com;98 Place de l Église;5262;Beijing;174;1;26/09/1949
3;Florentin;Antony;f.antony@gmail.com;89 Grande Rue;7232;Delhi;85;0;19/05/1972
4;Guy;Arendt;g.arendt@gmail.com;49 Rue du Moulin;1582;Lagos;76;0;31/12/1988
5;Fränk;Arndt;f.arndt@gmail.com;6 Place de la Mairie;5380;Tianjin;15;1;18/06/1986
6;Jean;Asselborn;j.asselborn@gmail.com;1 Rue du Château;6904;Karachi;166;1;09/09/1944
7;Theophile;Aubart;t.aubart@gmail.com;92 Rue des Écoles;2043;Chengdu;43;0;18/10/1985
8;Aloyse;Bauer;a.bauer@gmail.com;43 Rue de la Gare;1906;Istanbul;245;0;12/06/1978
9;Joseph;Baldauff;j.baldauff@gmail.com;92 Rue de la Mairie;2842;Tokyo;7;0;09/12/1962
10;Jean-Pierre;Bausch;j.bausch@gmail.com;99 Rue Principale;7163;Guangzhou;42;1;07/09/1977
11;Pierre;Becker;p.becker@gmail.com;10 Rue du Stade;2928;Mumbai;170;1;28/12/1990
12;Jeannot;Belling;j.belling@gmail.com;95 Rue de la Fontaine;2880;Moscow;107;1;24/02/1983
13;Albert;Berchem;a.berchem@gmail.com;8 Rue Pasteur;1396;São Paulo;212;0;28/05/1978
14;Will;Bertrand;w.bertrand@gmail.com;43 Rue des Jardins;9079;Lahore;40;1;30/04/1977
15;Xavier;Bettel;x.bettel@gmail.com;64 Rue Victor-Hugo;8961;Shenzhen;83;0;10/03/1991
16;Niki;Bettendorf;n.bettendorf@gmail.com;64 Rue de l Église;7126;Jakarta;216;0;16/06/1987
17;Jean Charles;Beving;j.beving@gmail.com;70 Place de l Église;3846;Seoul;174;1;23/04/1971
18;Leopold;Bian;l.bian@gmail.com;74 Grande Rue;3436;Wuhan;138;1;09/07/1946
19;Claude;Bicheler;c.bicheler@gmail.com;40 Rue du Moulin;7067;Kinshasa;92;0;07/10/1962
20;Nicolas;Birtz;n.birtz@gmail.com;28 Place de la Mairie;4854;Cairo;47;0;09/08/1952
21;Nicolas;Biwer;n.biwer@gmail.com;82 Rue du Château;2735;Dhaka;193;0;18/05/1954
22;Alex;Bodry;a.bodry@gmail.com;16 Rue des Écoles;2974;Mexico City;82;1;12/06/1952
23;Theodore;Boever;t.boever@gmail.com;98 Rue de la Gare;2960;London;101;1;28/09/1976
24;Luc;Bonblet;l.bonblet@gmail.com;9 Rue de la Mairie;2177;Xi'an;21;1;12/04/1982
25;Jeannot;Bonifas;j.bonifas@gmail.com;14 Rue Principale;9877;Tehran;213;0;08/01/1977
26;Pierre;Bormann;p.bormann@gmail.com;14 Rue du Stade;9655;Lima;139;1;22/03/1978
27;Claude;Bosseler;c.bosseler@gmail.com;3 Rue de la Fontaine;2219;New York City;21;0;11/01/1978
28;Albert;Bousser;a.bousser@gmail.com;96 Rue Pasteur;7908;Bengaluru;244;0;18/05/1944
29;emile;Braas;e.braas@gmail.com;45 Rue des Jardins;1686;Bangkok;152;1;11/12/1966
30;Dominique;Brasseur;d.brasseur@gmail.com;22 Rue Victor-Hugo;1099;Ho Chi Minh City;58;1;20/05/1972
31;Victor;Braun;v.braun@gmail.com;48 Rue de l Église;4941;Dongguan;59;0;31/12/1984
32;Joseph;Brebsom;j.brebsom@gmail.com;18 Place de l Église;3995;Chongqing;42;0;06/03/1942
33;Jean-Pierre;Brimmeyr;j.brimmeyr@gmail.com;2 Grande Rue;6031;Nanjing;206;0;12/04/1988
34;Rodolphe;Brimmeyr;r.brimmeyr@gmail.com;95 Rue du Moulin;2024;Shenyang;247;1;30/06/1963
35;Marianne;Brosius-Kolber;m.brosius-kolber@gmail.com;2 Place de la Mairie;9217;Bogotá;47;1;27/01/1947
36;Emile;Calmes;e.calmes@gmail.com;94 Rue du Château;2969;Ningbo;116;1;10/09/1953
37;Pierre;Claude;p.claude@gmail.com;97 Rue des Écoles;7545;Hong Kong;18;0;28/04/1983
38;Raoul;Clausse;r.clausse@gmail.com;98 Rue de la Gare;9800;Hanoi;195;1;30/11/1969
39;Hubert;Clement;h.clement@gmail.com;66 Rue de la Mairie;5319;Baghdad;236;0;29/09/1990
40;Eugène Auguste;Collart;e.collart@gmail.com;46 Rue Principale;9116;Changsha;216;0;01/03/1946
41;Hubert Joseph;Collart;h.collart@gmail.com;94 Rue du Stade;3975;Hyderabad;144;1;28/07/1970
42;Jean-Nicolas;Collart;j.collart@gmail.com;33 Rue de la Fontaine;1279;Chennai;225;1;19/10/1948
43;Jean;Conzemius;j.conzemius@gmail.com;21 Rue Pasteur;1024;Rio de Janeiro;223;0;06/07/1991
44;Henry;Cravatte;h.cravatte@gmail.com;8 Rue des Jardins;8921;Foshan;244;0;17/07/1941
45;Jacques;DMartigny;j.dmartigny@gmail.com;57 Rue Victor-Hugo;3183;Santiago;162;0;09/07/1947
46;François-Joseph;Dargent;f.dargent@gmail.com;8 Rue de l Église;1276;Riyadh;12;1;27/07/1965
47;François Antoine;Defer;f.defer@gmail.com;16 Place de l Église;9894;Ahmedabad;219;1;16/04/1956
48;Gab;Dellere;g.dellere@gmail.com;26 Grande Rue;1306;Singapore;230;1;12/08/1958
49;Lex;Delles;l.delles@gmail.com;85 Rue du Moulin;4171;Shantou;33;0;30/12/1948
50;Mars;Di Bartolomeo;m.di bartolomeo@gmail.com;46 Place de la Mairie;9368;Saint Petersburg;44;1;03/11/1986
51;Jean-Pierre;Dichter;j.dichter@gmail.com;22 Rue du Château;7152;Yangon;83;0;23/11/1949
