1;28/08/2017;Paypal;124;François-Joseph;Hoferlin;"United Arab Emirates";3;87;Aporreadillo;4;"Meat dishes"
1;28/08/2017;Paypal;124;François-Joseph;Hoferlin;"United Arab Emirates";2;117;"Mole blanco";6;"Moles, sauces, dips and spreads"
2;13/09/2017;Visa;6;Jean;Asselborn;"United States Minor Outlying Islands";4;32;Huauzontles;1;"Antojitos (street food)"
2;13/09/2017;Visa;6;Jean;Asselborn;"United States Minor Outlying Islands";3;92;Cecina;4;"Meat dishes"
2;13/09/2017;Visa;6;Jean;Asselborn;"United States Minor Outlying Islands";1;126;"Arroz a la tumbada (rice with seafood)";7;"Rice dishes"
2;13/09/2017;Visa;6;Jean;Asselborn;"United States Minor Outlying Islands";2;169;"Frijoles negros (black beans)";9;"Vegetable dishes"
2;13/09/2017;Visa;6;Jean;Asselborn;"United States Minor Outlying Islands";5;220;"Tacuarines, Biscochos, or Coricos";10;"Desserts and sweets"
3;01/07/2017;MasterCard;70;Robert;Everling;"Cabo Verde";5;38;Longaniza;1;"Antojitos (street food)"
3;01/07/2017;MasterCard;70;Robert;Everling;"Cabo Verde";1;90;"Carne guisada, stewed beef in spiced gravy";4;"Meat dishes"
3;01/07/2017;MasterCard;70;Robert;Everling;"Cabo Verde";5;144;"caldo de pollo, chicken soup";8;"Soups and stews"
3;01/07/2017;MasterCard;70;Robert;Everling;"Cabo Verde";5;147;"caldo de camaron shrimp soup";8;"Soups and stews"
4;11/07/2017;DigiCash;1;Victor;Abens;Eritrea;4;60;Romeritos;1;"Antojitos (street food)"
4;11/07/2017;DigiCash;1;Victor;Abens;Eritrea;2;162;"Sopa de tortilla (tortilla soup)";8;"Soups and stews"
4;11/07/2017;DigiCash;1;Victor;Abens;Eritrea;5;177;Amaranto;10;"Desserts and sweets"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;4;1;Aguachile;1;"Antojitos (street food)"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;3;32;Huauzontles;1;"Antojitos (street food)"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;4;51;Panucho;1;"Antojitos (street food)"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;5;54;"Pastel azteca";1;"Antojitos (street food)"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;4;71;Tlayudas;1;"Antojitos (street food)"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;2;113;Chapulines;5;"Poultry dishes"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;2;124;"Guacamole with tortilla chips";6;"Moles, sauces, dips and spreads"
5;17/04/2017;Paypal;183;Jean;Mersch-Wittenauer;Suriname;2;176;Alfajor;10;"Desserts and sweets"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";5;12;"Chimichangas (Tex-Mex mostly)";1;"Antojitos (street food)"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";2;24;Entomatadas;1;"Antojitos (street food)"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";4;28;"Frijoles charros";1;"Antojitos (street food)"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";2;50;Pambazos;1;"Antojitos (street food)"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";5;64;Sopes;1;"Antojitos (street food)"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";3;107;Barbacoa;5;"Poultry dishes"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";5;131;"Arroz con lima (rice with lemon)";7;"Rice dishes"
6;23/05/2017;Visa;280;Nicolas;Wellenstein;"Moldova, Republic of";2;186;"Chongos zamoranos";10;"Desserts and sweets"
7;03/10/2017;MasterCard;199;Joseph;Palgen;Seychelles;4;4;"Camote (Mexican sweet potato)";1;"Antojitos (street food)"
7;03/10/2017;MasterCard;199;Joseph;Palgen;Seychelles;3;99;"Cochinita pibil";4;"Meat dishes"
7;03/10/2017;MasterCard;199;Joseph;Palgen;Seychelles;1;130;"Arroz con leche";7;"Rice dishes"
7;03/10/2017;MasterCard;199;Joseph;Palgen;Seychelles;5;218;Polvorón;10;"Desserts and sweets"
7;03/10/2017;MasterCard;199;Joseph;Palgen;Seychelles;2;252;Tubâ;12;"Alcoholic beverages"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";5;10;Chicharrón;1;"Antojitos (street food)"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";2;19;Curtido;1;"Antojitos (street food)"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";4;32;Huauzontles;1;"Antojitos (street food)"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";3;35;Jocoque;1;"Antojitos (street food)"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";2;37;"Lentil soup (lentil beans)";1;"Antojitos (street food)"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";5;115;Chamoy;6;"Moles, sauces, dips and spreads"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";3;169;"Frijoles negros (black beans)";9;"Vegetable dishes"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";2;181;Cajeta;10;"Desserts and sweets"
8;28/09/2017;DigiCash;142;Pierre;Kirsch;"United Kingdom";5;219;"Rosca de reyes";10;"Desserts and sweets"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";3;8;Chapulines and escamoles;1;"Antojitos (street food)"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";1;10;Chicharrón;1;"Antojitos (street food)"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";2;107;Barbacoa;5;"Poultry dishes"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";2;111;"Queso de Puerco";5;"Poultry dishes"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";5;116;Guacamole;6;"Moles, sauces, dips and spreads"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";3;147;"caldo de camaron shrimp soup";8;"Soups and stews"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";2;172;Nopalitos;9;"Vegetable dishes"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";4;176;Alfajor;10;"Desserts and sweets"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";4;234;Mangonada;11;"Non-alcoholic beverages"
9;02/12/2017;Paypal;170;Lucien;Lux;"Virgin Islands, U.S.";3;251;Tequila;12;"Alcoholic beverages"
10;03/04/2017;Visa;124;François-Joseph;Hoferlin;"United Arab Emirates";5;7;Chalupa;1;"Antojitos (street food)"
10;03/04/2017;Visa;124;François-Joseph;Hoferlin;"United Arab Emirates";4;33;Huaraches;1;"Antojitos (street food)"
10;03/04/2017;Visa;124;François-Joseph;Hoferlin;"United Arab Emirates";1;110;Puntas;5;"Poultry dishes"
10;03/04/2017;Visa;124;François-Joseph;Hoferlin;"United Arab Emirates";2;157;"Sopa de fideo";8;"Soups and stews"
10;03/04/2017;Visa;124;François-Joseph;Hoferlin;"United Arab Emirates";3;212;"Pan dulce";10;"Desserts and sweets"
11;10/12/2017;MasterCard;6;Jean;Asselborn;"United States Minor Outlying Islands";4;45;"Mole poblano";1;"Antojitos (street food)"
11;10/12/2017;MasterCard;6;Jean;Asselborn;"United States Minor Outlying Islands";5;127;"Arroz amarillo (yellow rice)";7;"Rice dishes"
11;10/12/2017;MasterCard;6;Jean;Asselborn;"United States Minor Outlying Islands";5;187;Chocolate;10;"Desserts and sweets"
11;10/12/2017;MasterCard;6;Jean;Asselborn;"United States Minor Outlying Islands";2;211;"Pan de nata";10;"Desserts and sweets"
12;30/03/2017;DigiCash;70;Robert;Everling;"Cabo Verde";4;4;"Camote (Mexican sweet potato)";1;"Antojitos (street food)"
12;30/03/2017;DigiCash;70;Robert;Everling;"Cabo Verde";1;15;"Cochinita pibil";1;"Antojitos (street food)"
12;30/03/2017;DigiCash;70;Robert;Everling;"Cabo Verde";2;64;Sopes;1;"Antojitos (street food)"
12;30/03/2017;DigiCash;70;Robert;Everling;"Cabo Verde";4;110;Puntas;5;"Poultry dishes"
12;30/03/2017;DigiCash;70;Robert;Everling;"Cabo Verde";2;130;"Arroz con leche";7;"Rice dishes"
